TrainCategory,TrainId,Route
EX,1198,"HMB/80, PA/86, KH/86"
RØ,1220,"NF/86, KH/86"
RØ,4218,"NÆ/86, HG/86"
RØ,1552,"KB/86, KK/86"
EX,1191,"KH/86, PA/86, HMB/80"
L,935,"FA/86, SDB/86"
RV,2720,"FA/86, OD/86"
RØ,1574,"KB/86, KH/86"
RØ,3859,"NÆ/86, NF/86"
M,9720,"KK/86, HGL/86"
IC,846,"ES/86, OD/86, HGL/86"
RR,982,"SDB/86, FA/86"
IC,141,"KH/86, FA/86, AR/86"
IC,4113,"AR/86, ABL/86"
IC,144,"FA/86, HGL/86"
IC,4176,"ABL/86, AR/86"
IC,827,"HGL/86, OD/86, ES/86"
IC,839,"KK/86, OD/86, ES/86"
RV,4721,"OD/86, FA/86"
IC,1472,"KH/86, CPH/86"
IC,80108,"FA/86, HGL/86"
RØ,2089,"HG/86, KH/86"
L,26,"AR/86, VJ/86, FA/86, CPH/86"
IC,132,"FA/86, HGL/86"
L,4054,"ABL/86, AR/86"
IC,4165,"AR/86, ABL/86"
RØ,274,"RO/86, CPH/86"
RØ,4441,"KK/86, NÆ/86"
RØ,4263,"HG/86, NÆ/86"
RØ,1273,"KH/86, NF/86"
IC,4184,"ABL/86, AR/86"
RØ,4410,"NÆ/86, KH/86"
IC,875,"HGL/86, OD/86, ES/86"
RØ,2439,"KK/86, NÆ/86"
RØ,2419,"KH/86, NÆ/86"
RØ,1229,"KH/86, NF/86"
RØ,2444,"NÆ/86, KH/86"
RØ,2412,"NÆ/86, KK/86"
L,4042,"ABL/86, AR/86"
RØ,4426,"NÆ/86, KK/86"
RØ,1265,"KH/86, NF/86"
RV,2961,"FA/86, AR/86"
IC,125,"KK/86, FA/86, AR/86"
L,959,"FA/86, SDB/86"
L,4055,"AR/86, AB/86"
RØ,3510,"KB/86, KK/86"
IC,124,"FA/86, KH/86"
M,7085,"FA/86, AR/86"
RØ,1236,"NF/86, KH/86"
M,12196,"KH/86, HGL/86"
